year,state,cancer_death_count
2012,VT,3799.0
2013,VT,3769.0
2014,VT,3963.0
2015,VT,3864.0
2016,VT,3938.0
2017,VT,4153.0
1999,VA,29765.0
2000,VA,30723.0
2001,VA,30125.0
2002,VA,31888.0
2003,VA,34212.0
2004,VA,34830.0
2005,VA,35990.0
2006,VA,36805.0
2007,VA,38907.0
2008,VA,39119.0
2009,VA,39681.0
2010,VA,38213.0
2011,VA,39398.0
2012,VA,39139.0
2013,VA,40809.0
2014,VA,41492.0
2015,VA,41390.0
2016,VA,42677.0
2017,VA,42861.0
1999,WA,29110.0
2000,WA,29083.0
2001,WA,30399.0
2002,WA,30725.0
2003,WA,30929.0
2004,WA,31884.0
2005,WA,32584.0
2006,WA,33073.0
2007,WA,32676.0
2008,WA,34768.0
2009,WA,35892.0
2010,WA,36083.0
2011,WA,36732.0
2012,WA,36602.0
2013,WA,36923.0
2014,WA,37472.0
2015,WA,37656.0
2016,WA,39490.0
2017,WA,39951.0
1999,WV,10837.0
2000,WV,10902.0
2001,WV,11264.0
2002,WV,11089.0
2003,WV,10850.0
2004,WV,11118.0
2005,WV,11452.0
2006,WV,11629.0
2007,WV,11917.0
2008,WV,11728.0
2009,WV,11797.0
2010,WV,11674.0
2011,WV,12116.0
2012,WV,11944.0
2013,WV,12127.0
2014,WV,12050.0
2015,WV,12368.0
2016,WV,12355.0
2017,WV,12848.0
1999,WI,27629.0
2000,WI,27473.0
2001,WI,28793.0
2002,WI,28171.0
2003,WI,28322.0
2004,WI,28563.0
2005,WI,28926.0
2006,WI,29918.0
2007,WI,30624.0
2008,WI,31243.0
2009,WI,31497.0
2010,WI,31880.0
2011,WI,32960.0
2012,WI,32515.0
2013,WI,33106.0
2014,WI,33901.0
2015,WI,34428.0
2016,WI,35161.0
2017,WI,35664.0
1999,WY,2266.0
2000,WY,2292.0
2001,WY,2273.0
2002,WY,2297.0
2003,WY,2428.0
2004,WY,2433.0
2005,WY,2370.0
2006,WY,2553.0
2007,WY,2523.0
2008,WY,2608.0
2009,WY,2609.0
2010,WY,2722.0
2011,WY,2766.0
2012,WY,2611.0
2013,WY,2618.0
2014,WY,2732.0
2015,WY,2725.0
2016,WY,2854.0
2017,WY,2944.0
